NOP $ $ $ 00 1
AJMP sadd $ $ 01 2
LJMP ladd $ $ 02 3
RR A $ $ 03 1
INC A $ $ 04 1
INC add $ $ 05 2
INC @R0 $ $ 06 1
INC @R1 $ $ 07 1
INC R0 $ $ 08 1
INC R1 $ $ 09 1
INC R2 $ $ 0A 1
INC R3 $ $ 0B 1
INC R4 $ $ 0C 1
INC R5 $ $ 0D 1
INC R6 $ $ 0E 1
INC R7 $ $ 0F 1
JBC b radd $ 10 3
ACALL sadd $ $ 11 2
LCALL ladd $ $ 12 3
RRC A $ $ 13 1
DEC A $ $ 14 1
DEC add $ $ 15 2
DEC @R0 $ $ 16 1
DEC @R1 $ $ 17 1
DEC R0 $ $ 18 1
DEC R1 $ $ 19 1
DEC R2 $ $ 1A 1
DEC R3 $ $ 1B 1
DEC R4 $ $ 1C 1
DEC R5 $ $ 1D 1
DEC R6 $ $ 1E 1
DEC R7 $ $ 1F 1
JB b radd $ 20 3
AJMP sadd $ $ 21 2
RET $ $ $ 22 1
RL A $ $ 23 1
ADD A #n $ 24 2
ADD A add $ 25 2
ADD A @R0 $ 26 1
ADD A @R1 $ 27 1
ADD A R0 $ 28 1
ADD A R1 $ 29 1
ADD A R2 $ 2A 1
ADD A R3 $ 2B 1
ADD A R4 $ 2C 1
ADD A R5 $ 2D 1
ADD A R6 $ 2E 1
ADD A R7 $ 2F 1
JNB b radd $ 30 3
ACALL sadd $ $ 31 2
RETI $ $ $ 32 1
RLC A $ $ 33 1
ADDC A #n $ 34 2
ADDC A add $ 35 2
ADDC @R0 $ $ 36 1
ADDC @R1 $ $ 37 1
ADDC A R0 $ 38 1
ADDC A R1 $ 39 1
ADDC A R2 $ 3A 1
ADDC A R3 $ 3B 1
ADDC A R4 $ 3C 1
ADDC A R5 $ 3D 1
ADDC A R6 $ 3E 1
ADDC A R7 $ 3F 1
JC radd $ $ 40 2
AJMP sadd $ $ 41 2
ORL add A $ 42 2
ORL add #n $ 43 3
ORL A #n $ 44 2
ORL A add $ 45 2
ORL A @R0 $ 46 1
ORL A @R1 $ 47 1
ORL A R0 $ 48 1
ORL A R1 $ 49 1
ORL A R2 $ 4A 1
ORL A R3 $ 4B 1
ORL A R4 $ 4C 1
ORL A R5 $ 4D 1
ORL A R6 $ 4E 1
ORL A R7 $ 4F 1
JNC radd $ $ 50 2
ACALL sadd $ $ 51 2
ANL add A $ 52 2
ANL add #n $ 53 3
ANL A #n $ 54 2
ANL A add $ 55 2
